,XGBoost (tuned),CatBoost (tuned)
district_key,0.5278454,0.559697750456291
log_area,0.31267324,0.25496420263737607
t,0.23668234,0.23339675756536096
month,0.028994063,0.032666660494809464
quarter,0.020867895,0.02577376906466958
prop_type,0.009570433,0.029498074285471375
log_nprops,0.005636669,0.0033365556241549423
