yq,coef,std_err,index,ci_low,ci_high,raw_med_ppm2,raw_index
2020Q1,0.0,,100.0,100.0,100.0,628.5714285714286,100.0
2020Q2,0.1612622817467961,0.010518690702117492,117.49931076472566,115.10167106050702,119.94689480162235,2069.714285714286,329.2727272727273
2020Q3,-0.029059380969383628,0.008453945212524329,97.13587825278913,95.53962399737038,98.75880236037321,751.0235724495482,119.48102288970085
2020Q4,0.06049786880650645,0.007159079425353375,106.2365333461826,104.75625379505435,107.73773028858919,661.1111111111111,105.17676767676768
2021Q1,0.24088478151945797,0.00693377017662366,127.23744258143068,125.51995852023961,128.97842690134732,813.3333333333334,129.3939393939394
2021Q2,0.33029382488887926,0.007556429696486787,139.1376889568713,137.09216113450896,141.21373773708737,1050.0,167.04545454545456
2021Q3,0.4404292133456111,0.007487633050204394,155.33738042148545,153.0743327768099,157.63388491388434,1159.7258829731154,184.50184501845018
2021Q4,0.562844193261373,0.007050059076697865,175.565883891828,173.15657854551094,178.0087123783027,1132.4786324786326,180.16705516705517
2022Q1,0.7041176310874279,0.0070061140946534916,202.2061693150197,199.44845528539418,205.00201343022707,1371.428571428571,218.18181818181813
2022Q2,0.6940512092590126,0.008001812151429071,200.1808874912357,197.0658315914245,203.34518365345355,1666.6666666666667,265.1515151515152
2022Q3,0.5393310469706342,0.00889196649254445,171.48593180653387,168.52312464634326,174.50082811642952,1530.6122448979593,243.5064935064935
2022Q4,0.6138947916708025,0.008968172644368931,184.76134729265965,181.54205943365548,188.0377228279382,2200.0,350.0
2023Q1,0.5842180490166166,0.009500059821858479,179.3587939301737,176.05001270250156,182.7297622207409,1587.3015873015872,252.52525252525254
2023Q2,0.642764005620918,0.008181488974892709,190.17300140925133,187.14776148749294,193.24714427546098,1932.3671497584544,307.4220465524814
2023Q3,0.6102344989392144,0.007957362971609672,184.0863028598738,181.2374868899392,186.97989848643363,1333.3333333333333,212.1212121212121
2023Q4,0.7496807000903011,0.007499737878260582,211.6324166603703,208.5442814693223,214.76628112719126,1474.3589743589744,234.55710955710956
2025Q1,0.9469220684204416,0.008003977682588207,257.77632574140074,253.76393831069257,261.8521550188949,2249.9955861131343,357.9538432452714
2025Q2,0.991364014092895,0.009960873519491776,269.49078588027385,264.2804600646001,274.80383398990324,2500.187772269791,397.7571455883758
2025Q3,0.7928177365860507,0.010243745789030456,220.9613772287839,216.56921168846756,225.44261876463602,2107.053347654851,335.2130325814536
2025Q4,0.8547117815597524,0.012375499843289936,235.06967687732936,229.4364277488209,240.84123663094297,2592.2564,412.40442727272733
