model,RMSE_log,MAE_log,R2_log,MedAPE_%,within_10%,within_20%,MAE_SAR
XGBoost tuned,0.4049013441027462,0.26058439501470293,0.802488331160861,16.703394736842107,32.9633291389538,56.74096710408053,230109.24094156566
Blend (3 tuned),0.40619031858822546,0.2636761672126388,0.8012288009765902,17.138380563319565,31.47806938702139,55.85790041344598,230589.18234101887
CatBoost tuned,0.41083530893850684,0.2642865765382493,0.7966567104904403,16.98021710238697,32.42180478159267,55.93205105159087,239565.38071673777
XGBoost baseline,0.41274200296177305,0.2692716428323674,0.7947648909762951,17.500080261136713,30.92531008448679,55.28267122056444,236470.8798342179
CatBoost baseline,0.4189505567664202,0.27566939354024883,0.7885440716648349,18.30165899074856,29.55689376235844,53.3952004314219,247200.18558016492
OLS saturated,0.43231400261415226,0.2895249516643566,0.7748391255424169,20.423789509266133,25.98193420816106,48.62034873269818,253198.25026692354
OLS parsimonious,0.47948107883419366,0.3406942376064847,0.7230271057331461,25.57385112488465,21.566600754988315,40.88171849721373,288714.32810708974
