model,RMSE_log,MAE_log,R2_log,MedAPE_%,within_10%,within_20%,MAE_SAR
Hedonic OLS (no drift),0.5399917276339444,0.40977337696316246,0.5603851639225453,25.4447035072825,23.33599043443603,40.41118639564235,387914.69534520037
XGBoost,0.5731860499308862,0.4446595155419918,0.5046760229968317,29.537854871660578,15.228510694831938,33.62229307825162,419371.51236006105
CatBoost,0.5878096009438392,0.4518305514038454,0.4790794652774938,29.693087437098825,14.922944068021787,34.24339046100704,431115.27256225125
Hedonic OLS (trend),0.6017485565559372,0.4243314112104768,0.4540809600107074,39.44502247013249,13.262255878836191,26.152517603294807,524973.3766787008
