max_depth,min_child_weight,valid_R2,test_R2,trees,secs
8,8,0.7980497521788373,0.8005433798371413,626,4
10,3,0.7989851477620596,0.8016830006349149,218,3
12,3,0.7989107854738465,0.8015261066947482,155,4
14,3,0.7974110541414201,0.8001781599131761,119,6
