model,RMSE_log,MAE_log,R2_log,MAPE_%,MedAPE_%,within_10%,within_20%,MAE_SAR
Localised (per-district),0.3593749291942814,0.22916605192627076,0.8215318438420696,29.533611727848935,14.562458631208436,37.03753083127791,61.45256982867808,167943.6689231778
City-wide (single model),0.36099010693987876,0.23228601066220378,0.8199240212323203,30.46954916225011,15.166276757238972,35.35430971268582,59.82601159922672,171894.76024580703
