split,n,R2_base_mean,R2_base_sd,R2_lag_mean,R2_lag_sd,dR2_mean,dR2_sd,dR2_min,dR2_max,dMedAPE_mean,dMedAPE_sd,noise_floor,|dR2|/noise,sign_holds
out of time,5,0.5153838398042832,0.007284410214018392,0.5103290860721863,0.01349477800887196,-0.005054753732096762,0.014957552033472887,-0.015143393894709312,0.021079783503205496,-0.1131968257952721,0.3705729688675775,0.014957552033472887,0.33793990626172904,False
random split,5,0.8014282092902224,0.0002708964142280665,0.8018786200356306,0.00015872568018412698,0.0004504107454081252,0.0003197516383101085,4.523878223661182e-05,0.0008506358393215452,-0.16522189757628566,0.11555035847225961,0.0003197516383101085,1.4086268573588918,True
