,coef,std_err,z,p_value,ci_low,ci_high
const,8.278149839997297,0.05296493093929494,156.2949237012164,0.0,8.174338575356279,8.381961104638316
log_area,0.7516762441455564,0.002619318060770235,286.97402404216575,0.0,0.7465423807464467,0.7568101075446662
D:الرياض/أخرى,0.05204938714231294,0.057438812617694006,0.9061710152113964,0.36484534195696805,-0.060530685588367314,0.1646294598729932
D:الرياض/أم الحمام الغربي,0.5886605628060524,0.0719011044253806,8.187086519887437,2.67625783042841e-16,0.4477343981323064,0.7295867274797984
D:الرياض/إشبيلية,0.6750320713169258,0.05417318853112572,12.460630242007626,1.2239946800793864e-35,0.5688526217959193,0.7812115208379322
D:الرياض/اشبيليا,0.494299005316373,0.07246963908429391,6.820773658627212,9.055151516379381e-12,0.35225851271115693,0.6363394979215891
D:الرياض/الازدهار,1.0817689958628933,0.05963024723746064,18.141279736021442,1.5048593283889734e-73,0.9648937112774705,1.1986442804483162
D:الرياض/الامانة,0.8230496016330817,0.0640292357021672,12.854278090425868,8.138205936806269e-38,0.697552299656834,0.9485469036093295
D:الرياض/الاندلس,0.6965930008309803,0.05784852001131652,12.041673679719214,2.1455788064526353e-33,0.5832099016087999,0.8099761000531607
D:الرياض/البديعة,0.13059252701741267,0.05500809270105147,2.374060262862312,0.017593678756715553,0.02277666532335179,0.23840838871147355
D:الرياض/البرية,-0.9135430107048975,0.06577847182783035,-13.888176257667098,7.471352321480469e-44,-1.042468815487445,-0.7846172059223501
D:الرياض/البيان,0.2596349007580675,0.051879550462830056,5.0045711352893685,5.598653486595052e-07,0.1579509818509206,0.3613188196652144
D:الرياض/التعاون,1.1920354806022928,0.05585483390541857,21.34167085020463,4.659930502907526e-101,1.0825600061476723,1.3015109550569133
D:الرياض/الجرادية,-0.09518499904533012,0.07162576333321326,-1.3289212514569086,0.18387395178020172,-0.2355714951784281,0.045201497087767856
D:الرياض/الجزيرة,-0.29049678308831384,0.06560946785545325,-4.427665588270255,9.52584374100421e-06,-0.4190913400850022,-0.16190222609162547
D:الرياض/الجنادرية,-0.5461816686988251,0.050530095538871556,-10.8090369288667,3.1192754515498088e-27,-0.6452206559550133,-0.44714268144263686
D:الرياض/الحائر,-1.2922137202635484,0.05858940481200233,-22.055416408647865,8.474814041014869e-108,-1.407048953695073,-1.1773784868320238
D:الرياض/الحزم,0.2837127301054394,0.05218305519423852,5.436874653072514,5.422325522507906e-08,0.1814339419247319,0.3859915182861469
D:الرياض/الحمراء,0.8825385413324447,0.05929294467198862,14.884376989786723,4.163466602563976e-50,0.766324369775347,0.9987527128895424
D:الرياض/الخالدية,-0.008633153025372976,0.0645104872023296,-0.13382557472083725,0.8935405033963479,-0.13507370794193901,0.11780740189119306
D:الرياض/الخزامى,1.466155275837537,0.07067347774510156,20.74548080293328,1.346713215829993e-95,1.327635259457138,1.604675292217936
D:الرياض/الخليج,0.538806437221066,0.05615216648771164,9.595470146979611,8.353538072248189e-22,0.4287481909051512,0.6488646835369808
D:الرياض/الخير,-0.3833017159573181,0.050071973753988634,-7.655015115652097,1.9328950602894076e-14,-0.48144278451513584,-0.28516064739950037
D:الرياض/الدار البيضاء,0.12270299502558049,0.052515949633766136,2.3364900736115843,0.019465714352751316,0.01977173374339887,0.22563425630776213
D:الرياض/الدريهمية,0.3281424061071646,0.055199168495250354,5.944698354204372,2.7696640538742656e-09,0.2199520358564739,0.4363327763578553
D:الرياض/الرائد,1.335152403193192,0.07099272706438822,18.806889922431772,6.631598506353999e-79,1.1960066581469913,1.4742981482393929
D:الرياض/الرابية,-1.1155719185497395,0.05116130497964846,-21.804993422147945,2.080364360614024e-105,-1.2158480763098505,-1.0152957607896285
D:الرياض/الراية,-1.3659621463058529,0.055144319414732045,-24.77067739348924,1.8564817611978582e-135,-1.4740450123587276,-1.2578792802529781
D:الرياض/الربوة,0.769351384720688,0.05619114969147009,13.691682568251078,1.1384220851928525e-42,0.6592167313254066,0.8794860381159694
D:الرياض/الربيع,1.0860350281108282,0.06302051832967882,17.233038649880033,1.5005721471879675e-66,0.9625148121846577,1.2095552440369988
D:الرياض/الرحمانية,1.2897637297950826,0.06074029344962789,21.234071430107388,4.627470872401441e-100,1.1707127546338119,1.4088147049563533
D:الرياض/الرسالة,-1.487011369824749,0.0561153659196612,-26.499183342289196,9.904668332625879e-155,-1.596997487027285,-1.3770252526222129
D:الرياض/الرفيعة,0.6225345963560039,0.06361865331497028,9.785409843146013,1.3006725551335798e-22,0.49784203585866216,0.7472271568533457
D:الرياض/الرمال,0.4928908774004431,0.05023953849578815,9.810816184980775,1.0114709836620852e-22,0.3944213819486983,0.5913603728521879
D:الرياض/الروابى,0.6696495637540338,0.05874156180234788,11.399927805924769,4.184659528873227e-30,0.554516102621432,0.7847830248866356
D:الرياض/الروضة,0.7314431165051423,0.05406601847043013,13.52870318914244,1.0587488311234053e-41,0.6254737203030992,0.8374125127071853
D:الرياض/الريان,0.9986715960230271,0.05470118015523693,18.256856491740923,1.8250042817406386e-74,0.8914572829187628,1.1058859091272915
D:الرياض/الزاهر,-1.1142992925666957,0.05077787573678699,-21.944582682875417,9.755905908422861e-107,-1.2138239290107982,-1.0147746561225932
D:الرياض/الزهراء,0.657411725260797,0.06890644480725387,9.540642056047426,1.4195072670355216e-21,0.5223550934385794,0.7924683570830147
D:الرياض/الزهرة,0.22788040593709916,0.06225505693738399,3.6604320539984534,0.0002517903185030415,0.10586049433982653,0.3499003175343718
D:الرياض/السحاب,-1.3509380673743412,0.05107855373085105,-26.448244296282514,3.822426816808803e-154,-1.4510520326868093,-1.250824102061873
D:الرياض/السعادة,0.4640502671665094,0.053495183629720965,8.674617707241431,4.1494205039656705e-18,0.3591997072522563,0.5689008270807625
D:الرياض/السلام,0.6435308007772542,0.05936973074347467,10.839375431191167,2.239950182669452e-27,0.5271661285200439,0.7598954730344646
D:الرياض/السلى,0.26630211934685516,0.056846148438248825,4.684611476116722,2.804914768351047e-06,0.15488366840788748,0.37772057028582284
D:الرياض/السليمانية,1.0410656425350588,0.0553329988452677,18.81455305623825,5.739038519208591e-79,0.9326129647983341,1.1495183202717836
D:الرياض/السويدى,0.2011209705236728,0.0523354804175692,3.842918206138332,0.00012157999699634862,0.09854342890523718,0.3036985121421084
D:الرياض/الشرفية,0.5078095955849335,0.0784853946254035,6.4701158477780005,9.792780939403e-11,0.35397822211914265,0.6616409690507244
D:الرياض/الشرق,-0.8691164930503624,0.08265226078551981,-10.515338416521894,7.341675696433648e-26,-1.0311149241899813,-0.7071180619107436
D:الرياض/الشعلة,-1.5130811072466404,0.05846525754888252,-25.880004137184557,1.118459296768593e-147,-1.62767301204245,-1.3984892024508306
D:الرياض/الشفاء,0.07373612206052327,0.053477694723322575,1.3788201313091686,0.1679502181809842,-0.031080159597188975,0.1785524037182355
D:الرياض/الشميسي,-0.21804800399674287,0.07851014514385984,-2.777322645337079,0.0054808742471414325,-0.37192788847870817,-0.06416811951477758
D:الرياض/الشهداء,1.0535766227993935,0.0557644579356646,18.893335680137046,1.294045150661892e-79,0.9442782852454908,1.162874960353296
D:الرياض/الصالحية,-0.4572603558375303,0.09669309730809399,-4.728986541620008,2.2564333881211385e-06,-0.6467788265613945,-0.26774188511366603
D:الرياض/الصحافة,1.275267200386137,0.05559178800962443,22.939848600756537,1.8607612318825687e-116,1.166307295887273,1.3842271048850008
D:الرياض/الصفاء,0.5544384525992175,0.050824433711764906,10.908895822500337,1.0451810039111773e-27,0.4548225625241583,0.6540543426742768
D:الرياض/الصناعية,0.5278707904425041,0.10096795383381563,5.228102287893573,1.7125875995767298e-07,0.3299736009282255,0.7257679799567827
D:الرياض/الضباط,0.7586526498323148,0.06631586556729745,11.439987148511738,2.6392462326003772e-30,0.6286735533204119,0.8886317463442178
D:الرياض/العارض,1.060120320314505,0.05129838318109962,20.66576477804267,7.043245911932687e-95,0.9595754892795498,1.1606651513494604
D:الرياض/العريجاء,0.07076186269224534,0.05252759933457168,1.3471368116698332,0.1779361742252369,-0.03219223200351515,0.17371595738800583
D:الرياض/العزيزية,0.16572791922873195,0.05227825658055684,3.170111822175205,0.001523802832783834,0.06326253633084054,0.26819330212662335
D:الرياض/العقيق,1.116019946392514,0.05484845228211647,20.347337070738025,4.90190183091058e-92,1.0085169799195657,1.2235229128654623
D:الرياض/العلا,-1.378363646684896,0.051290205963469046,-26.873817735624268,4.444494779615812e-159,-1.4788924503732954,-1.2778348429964967
D:الرياض/العليا,1.03389635376448,0.05462200605089072,18.928201809380823,6.6804097451089546e-80,0.9268372219047343,1.1409554856242259
D:الرياض/العمل,0.48568675689714885,0.1314342552922811,3.6952829064012844,0.00021964208439754343,0.22807561652427794,0.7432978972700197
D:الرياض/العود,-0.20655174299406776,0.07757952963671719,-2.6624516023916445,0.00775737242359631,-0.3586076210820335,-0.05449586490610206
D:الرياض/الغدير,1.1137654460571296,0.06099125704604397,18.26106724142966,1.689561732751804e-74,0.9942225822468834,1.2333083098673758
D:الرياض/الغنامية,-1.2485070357227663,0.0566790210233856,-22.027674670097706,1.5639863184318938e-107,-1.359597916928602,-1.1374161545169306
D:الرياض/الفاخرية,0.14743090878745427,0.08550947392998941,1.7241470682905011,0.08468129684866198,-0.020167660115324976,0.3150294776902335
D:الرياض/الفاروق,0.37438721419945376,0.05197980848597231,7.202550857810276,5.909638842339888e-13,0.272506789566948,0.4762676388319595
D:الرياض/الفرسان,-1.3472967196776642,0.05497136656670497,-24.50906360573714,1.1825115950905795e-132,-1.4550405981484058,-1.2395528412069226
D:الرياض/الفلاح,1.0615258615270184,0.0706502400624614,15.025084990348661,5.0296790123030453e-51,0.9230513910045941,1.2000003320494428
D:الرياض/الفيحاء,0.6212548462268319,0.06223368560794914,9.982613759058466,1.8161835327947956e-23,0.4992768224352516,0.7432328700184122
D:الرياض/الفيصلية,-0.34417707291081323,0.11572098468926754,-2.974197582530022,0.002937558564464554,-0.5709902029017776,-0.11736394291984883
D:الرياض/القادسية,0.5734611013914798,0.05281251445452948,10.858432084032248,1.818445355547876e-27,0.469948573060602,0.6769736297223575
D:الرياض/القدس,0.998880014694409,0.05261865500621859,18.9833817412543,2.3403606130191766e-80,0.8957474508822205,1.1020125785065975
D:الرياض/القيروان,1.0335697037148697,0.051530828845446,20.057307962478284,1.7426666986170734e-89,0.9325692791777955,1.1345701282519438
D:الرياض/المحمدية,1.2464768720312003,0.06910600586934681,18.037171391265385,9.950864065536781e-73,1.1110291005272805,1.38192464353512
D:الرياض/المدينة الصناعية الجديدة,-0.09455726617571628,0.08845335155525023,-1.0690071604200704,0.285066442923513,-0.2679258352240067,0.07881130287257418
D:الرياض/المربع,0.5930263365840035,0.06432192889366245,9.219660336436732,2.980428225978948e-20,0.4669553559524251,0.7190973172155819
D:الرياض/المرجان,0.12619056196337686,0.053646804811965654,2.352247489961055,0.018660354595220658,0.021042824531924173,0.23133829939482953
D:الرياض/المرسلات,0.91185713716822,0.07047759196603517,12.93825614257175,2.7377340319370724e-38,0.7737210569147911,1.0499932174216489
D:الرياض/المرقب,0.11209103041942906,0.09441834281510855,1.187174304032506,0.23515887428537863,-0.07296892149818371,0.29715098233704185
D:الرياض/المروة,0.1799954994169579,0.06107753734904924,2.9469999484149105,0.003208732569750972,0.060283526212821376,0.29970747262109443
D:الرياض/المروج,1.1465816051812787,0.055461082280511775,20.673624783989673,5.984822610376071e-95,1.0378778839114757,1.2552853264510817
D:الرياض/المشاعل,0.06982071792837838,0.07381779264942688,0.9458521505779605,0.3442240018847682,-0.0748621556644983,0.21450359152125506
D:الرياض/المشرق,-1.0657819295485298,0.05125569101925647,-20.79343597471199,4.962704090900164e-96,-1.1662430839462725,-0.9653207751507871
D:الرياض/المصانع,0.04649509113803409,0.08448063473375765,0.5503638944542056,0.5820698078234313,-0.11908695294013089,0.2120771352161991
D:الرياض/المصفاة,-0.8029566600052362,0.052675839189193024,-15.243357720819583,1.8225817030095472e-52,-0.9062013048160545,-0.699712015194418
D:الرياض/المصيف,0.8991228115786414,0.05979686285529938,15.03628733424363,4.2471085499345536e-51,0.7819209603822546,1.0163246627750282
D:الرياض/المعذر,1.179742066001373,0.060632810866091895,19.457156103266332,2.5346498385106416e-84,1.060901756703833,1.2985823752989132
D:الرياض/المعيزلية,0.43270044163840454,0.05293154116518006,8.174718364766747,2.965577717562489e-16,0.3289546209546516,0.5364462623221574
D:الرياض/المغرزات,1.117142723841041,0.057397244531044264,19.46335112370796,2.246070275552082e-84,1.0046441245601943,1.2296413231218877
D:الرياض/الملز,0.48844820884446755,0.057039443039821475,8.563341134019536,1.096429095074056e-17,0.3766509004864175,0.6002455172025176
D:الرياض/الملقا,1.2749805055840733,0.05102404785453813,24.987835328526863,8.289668350054977e-138,1.1749733717891786,1.374987639378968
D:الرياض/الملك سلمان,1.3143312019412545,0.05720130517556513,22.977293925501225,7.86368038925397e-117,1.2022166437971469,1.4264457600853622
D:الرياض/الملك عبد الله,0.9553473334172162,0.061771123962081405,15.465921164129412,5.892427774879786e-54,0.8342759304515367,1.0764187363828959
D:الرياض/الملك عبدالعزيز,0.9127212673219661,0.08649883741102324,10.551832771866259,4.981574129492326e-26,0.7431835459963606,1.0822589886475718
D:الرياض/الملك فهد,0.9353375527051077,0.05795700069764755,16.138474066051394,1.3688377298598857e-58,0.8217418313377185,1.0489332740724968
D:الرياض/الملك فيصل,0.6275442657272461,0.05947810362248039,10.55084522718473,5.034216150060802e-26,0.5109671826271845,0.7441213488273076
D:الرياض/المناخ,-0.5135359607684576,0.06497270298378006,-7.903872506222466,2.7036956774265493e-15,-0.6408824586166666,-0.3861894629202487
D:الرياض/المنار,0.7381266754378012,0.05565751052685614,13.261941981426506,3.848002933971229e-40,0.6290379548051631,0.8472153960704393
D:الرياض/المنصورة,0.3181377947001619,0.060943518183426526,5.220207237505347,1.7872302539911921e-07,0.1986884990606459,0.4375870903396779
D:الرياض/المهدية,0.4182948279891426,0.05107588225915151,8.18967405921206,2.6193456130638227e-16,0.3181860987612056,0.5184035572170795
D:الرياض/المونسية,0.8386973618088506,0.05105691822934415,16.426713379790765,1.231554143369003e-60,0.738625802079336,0.9387689215383651
D:الرياض/النخبة,-1.4595123820495857,0.051791693129937026,-28.180433846561144,1.0158297306245746e-174,-1.5610241005842622,-1.3580006635149091
D:الرياض/النخيل,1.365641996775903,0.0552400213233824,24.721967227008367,6.209265759108803e-135,1.2573715549820736,1.4739124385697324
D:الرياض/الندوة,0.34917531043101924,0.06356567598617466,5.49314240765667,3.948441460664761e-08,0.22458658549811691,0.47376403536392153
D:الرياض/الندى,1.177383661322783,0.051721645481491614,22.76384771524922,1.046481552641565e-114,1.0760092361790594,1.2787580864665067
D:الرياض/النرجس,1.0518351658073992,0.05036213589468108,20.885435995149823,7.263869780041859e-97,0.9531253794538244,1.150544952160974
D:الرياض/النزهة,1.045526397324241,0.060038433147894345,17.414285192099644,6.428678269167956e-68,0.9278510683543681,1.163201726294114
D:الرياض/النسيم,0.09923285483736878,0.0529670389610641,1.8734831469494555,0.061001697826067396,-0.004582541526316847,0.2030482512010544
D:الرياض/النظيم,-0.21065439737178382,0.05127467961818065,-4.108351313756261,3.984936222652797e-05,-0.3111527694234179,-0.11015602532014974
D:الرياض/النفل,1.011892900645859,0.05677559440355704,17.822673831530384,4.71290173884979e-71,0.9006127356148872,1.1231730656768308
D:الرياض/النهضة,0.5110158333659895,0.05285388501511381,9.668463031995893,4.1049645953505337e-22,0.40742221873636647,0.6146094479956126
D:الرياض/الهدا,1.1187921545342134,0.057530406275341964,19.44697120996584,3.09161481196175e-84,1.0060325582345433,1.2315517508338836
D:الرياض/الواحة,1.2954379180012865,0.05126586506431091,25.2690150917421,7.000670511758967e-141,1.1949568224752372,1.3959190135273358
D:الرياض/الوادي,1.0045627475038672,0.05696104165148026,17.635961674478285,1.3045761080314031e-69,0.8929191058669659,1.1162063891407685
D:الرياض/الورود,1.0953464426289319,0.060422297471024046,18.12818261593269,1.9096692538398035e-73,0.9769187395857247,1.213774145672139
D:الرياض/الوزارات,0.661319599935665,0.07078657001489927,9.342444474940224,9.413521032850448e-21,0.5225779227064624,0.8000612771648676
D:الرياض/الوسام,-1.1675081339811324,0.05201465078384169,-22.445755501329213,1.4079113748085077e-111,-1.269456849517462,-1.0655594184448027
D:الرياض/الياسمين,1.121354286615992,0.051000571511158506,21.987092563671546,3.827379494106195e-107,1.0213931664541214,1.2213154067778627
D:الرياض/اليرموك,0.7355170756407429,0.05249356490742602,14.011566502253167,1.3245083271810325e-44,0.6326296884221878,0.8384044628592979
D:الرياض/اليمامة,-0.16788968918089836,0.058790614357687614,-2.8557226525894377,0.004293900411029037,-0.28311929332196606,-0.052660085039830634
D:الرياض/ام الحمام,0.5805505749211889,0.061229189528809555,9.481598227721571,2.5041777236285967e-21,0.4605413634447222,0.7005597863976556
D:الرياض/ام سليم,-0.11922372826076905,0.08766493642175839,-1.359993323752389,0.17383203659951885,-0.2910470036474155,0.05259954712587739
D:الرياض/بدر,-0.06678560698468865,0.05086096843031377,-1.3131013633016786,0.1891487945489796,-0.16647310510810365,0.03290189113872634
D:الرياض/بنبان,0.041236803813134756,0.06319636936488321,0.6525185580684499,0.5140667049456713,-0.08262808014203633,0.16510168776830586
D:الرياض/ثليم,0.1455772669171837,0.08856882524293339,1.6436626151231337,0.10024591227447002,-0.028017630558965723,0.3191721643933331
