model,RMSE_log,MAE_log,R2_log,MAPE_%,MedAPE_%,within_10%,within_20%,MAE_SAR
XGBoost tuned,0.4057259731047893,0.26125084853746666,0.8016830006349149,35.599083774408165,16.660380408653847,33.100395470070104,56.57468991551321,231365.2889433113
XGBoost tuned + lag,0.4053447164935092,0.2601010463703907,0.8020555384921166,35.402581436801874,16.401259072580647,33.16331116304153,57.111720294804954,230135.55047198356
XGBoost OOT,0.5607082138718413,0.4316603663618999,0.5260069613534473,50.422774367502335,28.54509597398002,15.510827686993489,35.120233824897035,421941.2884875593
XGBoost OOT + lag,0.5673355213616148,0.43416376247302185,0.5147359941463843,51.3005818834395,28.69420208333333,15.587219343696027,36.08675435100305,424584.19999497646
