spec,k,train_R2,valid_R2,test_R2,secs
L0  Step 3 spec (log area + district + quarter),174,0.7221142147863433,0.7220138828570044,0.7241541757432832,0
L1  + area deciles + cubic,197,0.7258943719208331,0.7261216859589417,0.7274883089245507,1
L2  + district slopes + district x year,847,0.7618899618070751,0.7608943315753546,0.7612778206750311,3
L3  + district x decile,913,0.761889961807075,0.760894331574254,0.7612778206884014,4
"L4  + district x quarter, finer district FE",1641,0.7764269151422145,0.7722458881127279,0.7738724559824397,3
L5  finest cells (final),2367,0.7803364159680695,0.7728413057448501,0.7739993744135452,5
X   L2 but city x SPLINE instead of deciles (rejected),846,0.7621123051546311,0.7608402907498327,0.7615092890876067,3
