depth,l2_leaf_reg,valid_R2,test_R2,secs
6,3.0,0.7858207312922721,0.7884996679954386,104
8,3.0,0.7891899309407779,0.791656678157087,144
10,3.0,0.7922458771710087,0.7936004018395418,189
10,6.0,0.7912342242210019,0.7933080879715981,183
