model,RMSE_log,MAE_log,R2_log,MedAPE_%,within_10%,within_20%,MAE_SAR,step
Hedonic OLS (no drift),0.5399917276339444,0.4097733769631624,0.5603851639225453,25.4447035072825,23.33599043443603,40.41118639564235,387914.6953452004,Step 3 baseline
XGBoost tuned,0.5607082138718413,0.4316603663618999,0.5260069613534473,28.54509597398002,15.510827686993489,35.120233824897035,421941.2884875593,Step 4 tuned
XGBoost,0.5731860499308862,0.4446595155419918,0.5046760229968317,29.537854871660578,15.228510694831938,33.62229307825162,419371.51236006105,Step 3 baseline
CatBoost,0.5878096009438392,0.4518305514038454,0.4790794652774938,29.693087437098825,14.922944068021788,34.24339046100704,431115.27256225125,Step 3 baseline
CatBoost tuned,0.5995029019107555,0.46266866898677017,0.4581479679742938,30.613111344388194,16.912448518666135,32.78530623090209,439844.32438171236,Step 4 tuned
OLS trend (tuned-era),0.6017485565559372,0.4243314112104768,0.4540809600107074,39.44502247013249,13.262255878836191,26.152517603294807,524973.3766787008,Step 4 tuned
Hedonic OLS (trend),0.6017485565559372,0.4243314112104768,0.4540809600107074,39.44502247013249,13.262255878836193,26.152517603294807,524973.3766787008,Step 3 baseline
