case,district,area_m2,yq,actual_SAR,pred_SAR,pred_SAR_raw_exp,smear,base_log,shap_log_area,shap_district_key,shap_t,shap_quarter,shap_month,shap_log_nprops,shap_prop_type
cheap (10th pct),الرياض/الجنادرية,300.0,2025Q1,165615.0,231579.1447029155,218143.146405708,1.061592575877763,13.257113456726074,-0.6077233552932739,-0.3621229827404022,0.13115908205509186,-0.04911716282367706,-0.07409105449914932,-0.001840648241341114,-0.00047095632180571556
typical (median),الرياض/النهضة,324.0,2020Q3,583200.0,712019.2469594439,670708.5779784403,1.061592575877763,13.257113456726074,-0.07996508479118347,0.5669111013412476,-0.2993938624858856,-0.01939932256937027,-0.007153381127864122,-0.0029942328110337257,0.0009716034401208162
expensive (90th pct),الرياض/الرمال,312.5,2022Q1,1700000.0,927458.6441887666,873648.389469859,1.061592575877763,13.257113456726074,-0.10829923301935196,0.43818098306655884,0.12439029663801193,0.011676196940243244,-0.04652487486600876,-0.00391793018206954,0.007814398966729641
